Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
Homo Antecesor,1.17907163,Europa,west,Spain,savannah,1058.14486,164.39868,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.7305624884859817,0.8887306267736577,1179071.63,Spain,39.3260685,-4.8379791
hominino Orrorin tugenencin,6.55875481,Africa,oriental,Kenya,forest,154.16916,127.16842,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.10644119669720217,0.6874657972461563,6558754.81,Kenya,1.4419683,38.4313975
Paranthropus Robustus,1.61432031,Africa,south,South Africa,jungle,526.7883,113.2738,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.363704239279015,0.6123522115325618,1614320.31,South Africa,-28.8166236,24.991639
"Homo Neanderthalensis
",0.77240811,Europa,central,Germany,cold forest,1246.8392,168.15274,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8608404984303099,0.9090248778999191,772408.11,Germany,51.1638175,10.4478313
hominino Ardipithecus ramidus / kabadda,3.8028592,Africa,oriental,Ethiopia,mixed,396.65257,116.67225,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.2738561604916363,0.6307240536821396,3802859.1999999997,Ethiopia,10.2116702,38.6521203
Homo Georgicus,1.95455723,Asia ,west,Georgia,savannah,845.82035,156.8969,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5839697786823668,0.8481763982280385,1954557.23,Georgia,32.3293809,-83.1137366
Paranthropus Aethiopicus,2.42404392,Africa,oriental,Kenya,forest-savanna,356.71246,101.21263,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.24628078092403738,0.5471501601917382,2424043.92,Kenya,1.4419683,38.4313975
Australopithecus Africanus,3.39178801,Africa,south,South Africa,forest-gallery,627.00608,105.16993,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light,0.43289642034516945,0.5685431160800177,3391788.01,South Africa,-28.8166236,24.991639
Australopithecus Anamensis,4.552475,Africa,oriental,Kenya,forest-gallery,316.12614,122.55052,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.2182592461998708,0.6625016724649959,4552475.0,Kenya,1.4419683,38.4313975
Paranthropus Aethiopicus,2.92055359,Africa,oriental,Kenya,forest-savanna,489.67915,117.50151,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3380834060694679,0.6352069896738295,2920553.59,Kenya,1.4419683,38.4313975
Homo Rodhesiensis,0.40866252,Africa,oriental,Ethiopia,savannah,1069.74372,150.039,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7385705527364667,0.8111029511337488,408662.51999999996,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,4.21622082,Africa,oriental,Kenya,mixed,445.70501,130.22537,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.3077228586984483,0.703991508337728,4216220.82,Kenya,1.4419683,38.4313975
hominino Sahelanthropus tchadensis,6.85143802,Africa,central,Republic of Chad,mixed,78.91146,88.83052,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.05448190958245736,0.4802131240727111,6851438.02,Republic of Chad,15.6134137,19.0156172
Paranthropus Robustus,2.1116275,Africa,south,South Africa,jungle,566.30512,110.71351,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.39098737171917314,0.5985114183070789,2111627.5,South Africa,-28.8166236,24.991639
Homo Heidelbergensis,0.43877675,Europa,central,Germany,cold forest,1303.38306,181.15611,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8998794094828126,0.9793204129387029,438776.75,Germany,51.1638175,10.4478313
Paranthropus Robustus,2.25200624,Africa,south,South Africa,jungle,441.84187,117.70908,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3050556764642788,0.6363291021883546,2252006.24,South Africa,-28.8166236,24.991639
Australopithecus Anamensis,4.30238502,Africa,oriental,Kenya,forest-gallery,471.04585,117.23633,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.3252186362904928,0.6337734405260635,4302385.02,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.63311486,Africa,oriental,Kenya,savannah,738.96174,131.76088,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5101926476024568,0.7122923947239034,2633114.86,Kenya,1.4419683,38.4313975
Australopithecus Garhi,3.08452754,Africa,oriental,Ethiopia,mixed,285.26987,122.83987,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.19695551525645788,0.6640658833628994,3084527.54,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.93684017,Africa,south,South Africa,jungle,497.25485,128.90382,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.34331380736256045,0.6968472784703548,936840.1699999999,South Africa,-28.8166236,24.991639
Australopithecus Garhi,2.52928605,Africa,oriental,Ethiopia,mixed,368.80942,111.63375,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2546327424888418,0.6034861873987906,2529286.0500000003,Ethiopia,10.2116702,38.6521203
Homo Habilis,3.14823968,Africa,oriental,Ethiopia,savannah,811.43987,121.79796,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5602328689513659,0.6584333726435814,3148239.68,Ethiopia,10.2116702,38.6521203
hominino Orrorin tugenencin,5.9256621,Africa,oriental,Kenya,forest,64.75085,129.73059,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.04470516646235235,0.7013167536528663,5925662.100000001,Kenya,1.4419683,38.4313975
Australopithecus Garhi,3.06501009,Africa,oriental,Ethiopia,mixed,261.51494,128.53202,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.1805546788203103,0.6948373472042737,3065010.09,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,3.95176487,Africa,oriental,Kenya,mixed,321.15323,136.58327,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.22173004071872618,0.7383619817014084,3951764.8699999996,Kenya,1.4419683,38.4313975
Homo Naledi,0.95581162,Africa,south,South Africa,jungle,471.58343,139.57929,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.3255897913160536,0.7545583084141679,955811.62,South Africa,-28.8166236,24.991639
Homo Rodhesiensis,1.28030441,Africa,oriental,Ethiopia,savannah,1024.62631,147.94612,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7074206709295067,0.7997889518111141,1280304.4100000001,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.03677138,Africa,oriental,Ethiopia,forest,558.59318,108.77095,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.38566290784807844,0.5880100410068145,2036771.38,Ethiopia,10.2116702,38.6521203
hominino Orrorin tugenencin,6.31530893,Africa,oriental,Kenya,forest,64.63307,128.40126,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.044623849004652015,0.6941304655142448,6315308.93,Kenya,1.4419683,38.4313975
"Homo Neanderthalensis
",0.08344401,Europa,central,Germany,cold forest,1113.42129,156.45563,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.7687263427766136,0.8457909157918267,83444.01,Germany,51.1638175,10.4478313
Homo Rodhesiensis,1.05950615,Africa,oriental,Ethiopia,savannah,1049.47123,148.49435,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7245740563189468,0.8027526543877778,1059506.1500000001,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.20349705,Africa,oriental,Kenya,savannah,582.17227,131.7168,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.4019423411447964,0.712054100559813,2203497.0500000003,Kenya,1.4419683,38.4313975
Homo Erectus,1.74050433,Asia ,west,Indonesia,savannah,1115.01068,156.53458,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7698236865879088,0.8462177153438899,1740504.33,Indonesia,-2.4833826,117.8902853
"Homo Neanderthalensis
",0.8620003,Europa,central,Germany,cold forest,1013.15696,151.70529,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.6995020227424175,0.8201108273289024,862000.3,Germany,51.1638175,10.4478313
hominino Orrorin tugenencin,6.20135246,Africa,oriental,Kenya,forest,152.1326,122.72136,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.10503511857142361,0.6634252245292704,6201352.46,Kenya,1.4419683,38.4313975
Homo Heidelbergensis,0.89163724,Europa,central,Germany,cold forest,1394.36828,172.21316,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.96269726292742,0.9309752950903996,891637.24,Germany,51.1638175,10.4478313
Homo Sapiens,0.33766568,Africa,oriental,Kenya,savannah,1293.04672,176.30292,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8927430120407487,0.9530843227793923,337665.68000000005,Kenya,1.4419683,38.4313975
Homo Sapiens,0.50193568,Africa,oriental,Kenya,savannah,1151.52644,177.6606,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.7950348325311559,0.9604238695285392,501935.68,Kenya,1.4419683,38.4313975
Australopithecus Garhi,2.84973343,Africa,oriental,Ethiopia,mixed,366.51396,112.98719,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2530479150864576,0.6108028129307019,2849733.43,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.81677602,Asia ,oriental,Indonesia,peninsular,249.40793,94.90718,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.17219577855241627,0.5130632287723985,816776.02,Indonesia,-2.4833826,117.8902853
hominino Orrorin tugenencin,6.3745141,Africa,oriental,Kenya,forest,85.8148,127.53023,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.05924810128258509,0.6894217230970998,6374514.1,Kenya,1.4419683,38.4313975
Homo Erectus,1.43278413,Asia ,west,Indonesia,savannah,1067.91307,155.55846,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.737306638625929,0.8409408619080454,1432784.13,Indonesia,-2.4833826,117.8902853
Homo Erectus,1.52070748,Asia ,west,Indonesia,savannah,1035.42837,152.68528,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7148786099439955,0.825408601781422,1520707.48,Indonesia,-2.4833826,117.8902853
Australopithecus Bahrelghazali,3.93370049,Africa,central,Republic of Chad,mixed,234.6939,122.7334,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.16203694418217948,0.6634903121367035,3933700.49,Republic of Chad,15.6134137,19.0156172
Homo Rudolfensis,3.15808033,Africa,oriental,Kenya,savannah,567.06534,130.99955,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.3915122414567598,0.708176684743254,3158080.33,Kenya,1.4419683,38.4313975
"Homo Neanderthalensis
",0.3343413,Europa,central,Germany,cold forest,1170.54763,150.19274,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8081674086326593,0.8119340614964364,334341.3,Germany,51.1638175,10.4478313
Homo Ergaster,1.402732,Africa,oriental,Kenya,savannah,924.91206,166.58638,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6385761361485945,0.900557218034565,1402732.0,Kenya,1.4419683,38.4313975
Homo Erectus,1.15083179,Asia ,west,Indonesia,savannah,1023.37005,152.87807,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7065533261391295,0.8264508143924703,1150831.79,Indonesia,-2.4833826,117.8902853
Homo Sapiens,0.04655932,Africa,oriental,Kenya,savannah,1213.54694,160.20508,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8378549156123559,0.8660602455002921,46559.32,Kenya,1.4419683,38.4313975
Homo Georgicus,1.95395179,Asia ,west,Georgia,savannah,607.92918,140.6208,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.41972538104474866,0.7601886567545016,1953951.79,Georgia,32.3293809,-83.1137366
Australopithecus Anamensis,4.07904541,Africa,oriental,Kenya,forest-gallery,300.51309,116.81587,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.2074797120434075,0.6315004558565197,4079045.41,Kenya,1.4419683,38.4313975
hominino Sahelanthropus tchadensis,6.87755445,Africa,central,Republic of Chad,mixed,66.54155,97.59587,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.0459414983650862,0.5275981456519019,6877554.45,Republic of Chad,15.6134137,19.0156172
Homo Habilis,2.65794322,Africa,oriental,Ethiopia,savannah,866.4927,121.2916,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5982423457284829,0.6556960170871188,2657943.2199999997,Ethiopia,10.2116702,38.6521203
Australopithecus Bahrelghazali,3.6645666,Africa,central,Republic of Chad,mixed,350.71835,129.38286,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.24214233818014053,0.6994369435421768,3664566.6,Republic of Chad,15.6134137,19.0156172
